Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
SPROHSA101091	SPROHSA101091	SPROHSA101091		74	false	false		SPROHSA101091		13.51	1.0000	0.9898	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA217040, SPROHSA319041, SPROHSA73362, SPROHSA86271
SPROHSA101179	SPROHSA101179	SPROHSA101179		84	false	false		SPROHSA101179		11.90	1.0000	0.9955	0.00000000000000	1	0	1	1	0	1	     0	     0	     0	1Q(-17.0265)		SPROHSA221453, SPROHSA298437
SPROHSA101228	SPROHSA101228	SPROHSA101228		71	false	false		SPROHSA101228		26.76	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA117251, SPROHSA374035, SPROHSA379833
SPROHSA10144	SPROHSA10144	SPROHSA10144		59	false	false		SPROHSA10144		18.64	1.0000	0.9987	0.00000000000000	1	0	1	1	0	1	     0	     0	     0	11M(15.9949)		SPROHSA122780, SPROHSA12489, SPROHSA282313, SPROHSA283570, SPROHSA290894, SPROHSA325349
SPROHSA101581	SPROHSA101581	SPROHSA101581		97	false	false		SPROHSA101581		9.28	1.0000	0.9906	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA104318, SPROHSA114066, SPROHSA117951, SPROHSA117952, SPROHSA165426, SPROHSA165428, SPROHSA176522, SPROHSA176524, SPROHSA177284, SPROHSA222373, SPROHSA263613, SPROHSA286673, SPROHSA298168, SPROHSA365550, SPROHSA56816
SPROHSA101955	SPROHSA101955	SPROHSA101955		96	false	false		SPROHSA101955		11.46	1.0000	0.9890	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA237975, SPROHSA3031, SPROHSA338, SPROHSA361922, SPROHSA72482
SPROHSA102089	SPROHSA102089	SPROHSA102089		97	false	false		SPROHSA102089		11.34	1.0000	0.9893	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA284213
SPROHSA102203	SPROHSA102203	SPROHSA102203		61	false	false		SPROHSA102203		14.75	1.0000	0.9955	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA102204, SPROHSA201558, SPROHSA201559
SPROHSA102275	SPROHSA102275	SPROHSA102275		34	false	false		SPROHSA102275		38.24	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA2149, SPROHSA339068, SPROHSA354262, SPROHSA54880
SPROHSA10275	SPROHSA10275	SPROHSA10275		38	false	false		SPROHSA10275		36.84	1.0000	0.9985	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA133564, SPROHSA230689, SPROHSA230690, SPROHSA238943, SPROHSA285654
SPROHSA102773	SPROHSA102773	SPROHSA102773		93	false	false		SPROHSA102773		9.68	1.0000	0.9921	0.00083194675541	1	0	1	6	0	6	     0	     0	     0			SPROHSA298764, SPROHSA370712, SPROHSA382722
SPROHSA103105	SPROHSA103105	SPROHSA103105		26	false	false		SPROHSA103105		34.62	1.0000	0.9748	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA167542, SPROHSA195986, SPROHSA222119, SPROHSA235319, SPROHSA259440, SPROHSA260812, SPROHSA326382, SPROHSA87352
SPROHSA103126	SPROHSA103126	SPROHSA103126		83	false	false		SPROHSA103126		10.84	1.0000	0.9710	0.00288184438040	1	0	1	2	0	2	     0	     0	     0			SPROHSA110591, SPROHSA180812, SPROHSA236354, SPROHSA241707, SPROHSA296933, SPROHSA316733, SPROHSA73559
SPROHSA103420	SPROHSA103420	SPROHSA103420		88	false	false		SPROHSA103420		12.50	1.0000	0.9877	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA115381, SPROHSA117870, SPROHSA117871, SPROHSA237185, SPROHSA241459, SPROHSA241470, SPROHSA241495, SPROHSA243255, SPROHSA243366, SPROHSA245592, SPROHSA254440, SPROHSA272843, SPROHSA321885, SPROHSA348377, SPROHSA352581, SPROHSA352584, SPROHSA367012, SPROHSA367043, SPROHSA368935, SPROHSA383207, SPROHSA383210, SPROHSA43251, SPROHSA44001, SPROHSA58615, SPROHSA84684, SPROHSA86393
SPROHSA103471	SPROHSA103471	SPROHSA103471		99	false	false		SPROHSA103471		10.10	1.0000	0.9707	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA241781, SPROHSA279776
SPROHSA103995	SPROHSA103995	SPROHSA103995		37	false	false		SPROHSA103995		29.73	1.0000	0.9942	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA103996, SPROHSA103997, SPROHSA104883, SPROHSA104884, SPROHSA104885, SPROHSA156154, SPROHSA156155, SPROHSA156156, SPROHSA254316, SPROHSA254317, SPROHSA254318, SPROHSA288699, SPROHSA288700, SPROHSA288701, SPROHSA292065, SPROHSA303016, SPROHSA370181, SPROHSA370182, SPROHSA370183, SPROHSA378289, SPROHSA378290, SPROHSA378291, SPROHSA50283, SPROHSA50284, SPROHSA50285, SPROHSA84693, SPROHSA84694, SPROHSA84695
SPROHSA104304	SPROHSA104304	SPROHSA104304		31	false	false		SPROHSA104304		35.48	1.0000	0.9936	0.00000000000000	2	0	2	2	0	2	     0	     0	     0			SPROHSA262719, SPROHSA273036, SPROHSA278974, SPROHSA278975, SPROHSA317769, SPROHSA59390, SPROHSA59391, SPROHSA59392
SPROHSA104436	SPROHSA104436	SPROHSA104436		93	false	false		SPROHSA104436		9.68	1.0000	0.9969	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA142827, SPROHSA155664, SPROHSA158525, SPROHSA207562, SPROHSA36160, SPROHSA366011, SPROHSA41895
SPROHSA104465	SPROHSA104465	SPROHSA104465		87	false	false		SPROHSA104465		20.69	1.0000	0.9981	0.00000000000000	4	0	4	9	0	9	     0	     0	     0			SPROHSA261063
SPROHSA104774	SPROHSA104774	SPROHSA104774		79	false	false		SPROHSA104774		11.39	1.0000	0.9863	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA104775, SPROHSA117655, SPROHSA131397, SPROHSA131398, SPROHSA163549, SPROHSA163551, SPROHSA206195, SPROHSA206196, SPROHSA210812, SPROHSA210813, SPROHSA230161, SPROHSA230162, SPROHSA241722, SPROHSA299713, SPROHSA373055, SPROHSA373056
SPROHSA105213	SPROHSA105213	SPROHSA105213		93	false	false		SPROHSA105213		10.75	1.0000	0.9857	0.00083194675541	1	0	1	2	0	2	     0	     0	     0			SPROHSA105214, SPROHSA160532, SPROHSA179138, SPROHSA233434, SPROHSA233435
SPROHSA105245	SPROHSA105245	SPROHSA105245		77	false	false		SPROHSA105245		11.69	1.0000	0.9866	0.00083194675541	1	0	1	1	0	1	     0	     0	     0	6C(119.0041)		SPROHSA244253, SPROHSA357507, SPROHSA378461
SPROHSA105477	SPROHSA105477	SPROHSA105477		39	false	false		SPROHSA105477		28.21	1.0000	0.9820	0.00144822592324	2	0	2	5	0	5	     0	     0	     0	3M(15.9949)		SPROHSA105478, SPROHSA105479, SPROHSA209621, SPROHSA209622, SPROHSA209623, SPROHSA305392, SPROHSA305393, SPROHSA305394, SPROHSA338460, SPROHSA338461, SPROHSA338462, SPROHSA364244, SPROHSA364245, SPROHSA364246, SPROHSA391840, SPROHSA391841
SPROHSA105785	SPROHSA105785	SPROHSA105785		79	false	false		SPROHSA105785		15.19	1.0000	0.9732	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA129938, SPROHSA161536, SPROHSA222437, SPROHSA223226, SPROHSA346699, SPROHSA381896, SPROHSA43816
SPROHSA105795	SPROHSA105795	SPROHSA105795		95	false	false		SPROHSA105795		9.47	1.0000	0.9852	0.00083194675541	1	0	1	4	0	4	     0	     0	     0	1Q(-17.0265)		SPROHSA132917, SPROHSA206110
SPROHSA105973	SPROHSA105973	SPROHSA105973		93	false	false		SPROHSA105973		9.68	1.0000	0.9975	0.00000000000000	1	0	1	7	0	7	     0	     0	     0			SPROHSA318319, SPROHSA52845
SPROHSA106010	SPROHSA106010	SPROHSA106010		94	false	false		SPROHSA106010		18.09	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	     0	     0	     0			SPROHSA15551, SPROHSA198125, SPROHSA223259, SPROHSA335511, SPROHSA363645, SPROHSA368593, SPROHSA388483, SPROHSA392416, SPROHSA63749, SPROHSA74959, SPROHSA94242
SPROHSA106075	SPROHSA106075	SPROHSA106075		91	false	false		SPROHSA106075		10.99	1.0000	0.9742	0.00288184438040	1	0	1	1	0	1	     0	     0	     0	10M(15.9949)		SPROHSA290785, SPROHSA387493, SPROHSA387494, SPROHSA389453
SPROHSA106615	SPROHSA106615	SPROHSA106615		78	false	false		SPROHSA106615		24.36	1.0000	0.9988	0.00000000000000	2	0	2	3	0	3	     0	     0	     0	10M(15.9949)		SPROHSA106616, SPROHSA106617, SPROHSA11911, SPROHSA11912, SPROHSA11913, SPROHSA2698, SPROHSA331453, SPROHSA331454, SPROHSA375650, SPROHSA375651, SPROHSA98685, SPROHSA98686, SPROHSA98687
SPROHSA106620	SPROHSA106620	SPROHSA106620		92	false	false		SPROHSA106620		11.96	1.0000	0.9972	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA10755, SPROHSA141589, SPROHSA17187, SPROHSA321686, SPROHSA325381, SPROHSA388033, SPROHSA391376, SPROHSA63641, SPROHSA8499
SPROHSA106810	SPROHSA106810	SPROHSA106810		37	false	false		SPROHSA106810		29.73	1.0000	0.9916	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA137448, SPROHSA200965, SPROHSA224983, SPROHSA243327, SPROHSA283134, SPROHSA322696, SPROHSA334391, SPROHSA34570, SPROHSA352437, SPROHSA352918, SPROHSA390110
SPROHSA106874	SPROHSA106874	SPROHSA106874		23	false	false		SPROHSA106874		39.13	1.0000	0.9944	0.00000000000000	1	0	1	3	0	3	     0	     0	     0	3M(15.9949)		SPROHSA124654, SPROHSA194977, SPROHSA253862, SPROHSA269778, SPROHSA32129
SPROHSA106879	SPROHSA106879	SPROHSA106879		58	false	false		SPROHSA106879		22.41	1.0000	0.9986	0.00000000000000	1	0	1	1	0	1	     0	     0	     0	12M(15.9949), 3M(15.9949)		SPROHSA12066, SPROHSA217167, SPROHSA223055, SPROHSA23315, SPROHSA244833, SPROHSA288769, SPROHSA296064, SPROHSA320298, SPROHSA355506, SPROHSA36184, SPROHSA65059, SPROHSA80101
