PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
O43175	PHGDH	0.000000	0.000000	0.000000	
O43187	IRAK2	0.000000	0.000000	0.000000	
O43196	MSH5	0.000000	0.000000	0.000000	
O43242	PSMD3	0.000000	0.000000	0.000000	
O43290	SART1	0.000000	0.000000	0.000000	
O43299	AP5Z1	0.000000	0.000000	0.000000	
O43303	CCP110	0.000000	0.000000	0.000000	
O43318	MAP3K7	0.000000	0.000000	0.000000	
O43325	LYRM1	0.000000	0.000000	0.000000	
O43399	TPD52L2	0.000000	0.000000	0.000000	
O43426	SYNJ1	0.000000	0.000000	0.000000	
O43432	EIF4G3	0.000000	0.000000	0.000000	
O43516	WIPF1	0.000000	0.000000	0.000000	
O43542	XRCC3	0.000000	0.000000	0.000000	
O43592	XPOT	0.000000	0.000000	0.000000	
O43598	DNPH1	0.000000	0.000000	0.000000	
O43660	PLRG1	0.000000	0.000000	0.000000	
O43665	RGS10	0.000000	0.000000	0.000000	
O43670	ZNF207	0.000000	0.000000	0.000000	
O43674	NDUFB5	0.000000	0.000000	0.000000	
O43681	GET3	0.000000	0.000000	0.000000	
O43683	BUB1	0.000000	0.000000	0.000000	
O43684	BUB3	0.000000	0.000000	0.000000	
O43716	GATC	0.000000	0.000000	0.000000	
O43734	TRAF3IP2	0.000000	0.000000	0.000000	
O43760	SYNGR2	0.000000	0.000000	0.000000	
O43776	NARS1	0.000000	0.000000	0.000000	
O43808	SLC25A17	0.000000	0.000000	0.000000	
O43847	NRDC	0.000000	0.000000	0.000000	
O43920	NDUFS5	0.000000	0.000000	0.000000	
O43924	PDE6D	0.000000	0.000000	0.000000	
O60229	KALRN	0.000000	0.000000	0.000000	
O60231	DHX16	0.000000	0.000000	0.000000	
O60264	SMARCA5	0.000000	0.000000	0.000000	
O60266	ADCY3	0.000000	0.000000	0.000000	
O60281	ZNF292	0.000000	0.000000	0.000000	
O60287	URB1	0.000000	0.000000	0.000000	
O60291	MGRN1	0.000000	0.000000	0.000000	
O60306	AQR	0.000000	0.000000	0.000000	
O60313	OPA1	0.000000	0.000000	0.000000	
O60331	PIP5K1C	0.000000	0.000000	0.000000	
O60337	MARCHF6	0.000000	0.000000	0.000000	
O60341	KDM1A	0.000000	0.000000	0.000000	
O60343	TBC1D4	0.000000	0.000000	0.000000	
O60443	GSDME	0.000000	0.000000	0.000000	
O60449	LY75	0.000000	0.000000	0.000000	
O60488	ACSL4	0.000000	0.000000	0.000000	
O60493	SNX3	0.000000	0.000000	0.000000	
O60502	OGA	0.000000	0.000000	0.000000	
O60506	SYNCRIP	0.000000	0.000000	0.000000	
O60518	RANBP6	0.000000	0.000000	0.000000	
O60563	CCNT1	0.000000	0.000000	0.000000	
O60566	BUB1B	0.000000	0.000000	0.000000	
O60568	PLOD3	0.000000	0.000000	0.000000	
O60610	DIAPH1	0.000000	0.000000	0.000000	
O60667	FCMR	0.000000	0.000000	0.000000	
O60671	RAD1	0.000000	0.000000	0.000000	
O60674	JAK2	0.000000	0.000000	0.000000	
O60675	MAFK	0.000000	0.000000	0.000000	
O60682	MSC	0.000000	0.000000	0.000000	
O60701	UGDH	0.000000	0.000000	0.000000	
O60711	LPXN	0.000000	0.000000	0.000000	
O60749	SNX2	0.000000	0.000000	0.000000	
O60762	DPM1	0.000000	0.000000	0.000000	
O60763	USO1	0.000000	0.000000	0.000000	
O60814	H2BC12	0.000000	0.000000	0.000000	
O60830	TIMM17B	0.000000	0.000000	0.000000	
O60869	EDF1	0.000000	0.000000	0.000000	
O60870	KIN	0.000000	0.000000	0.000000	
O75081	CBFA2T3	0.000000	0.000000	0.000000	
O75083	WDR1	0.000000	0.000000	0.000000	
O75113	N4BP1	0.000000	0.000000	0.000000	
O75122	CLASP2	0.000000	0.000000	0.000000	
O75140	DEPDC5	0.000000	0.000000	0.000000	
