PROTID	GENEID	GRLCL_1D_ETHCD_INT	GRLCL_1D_HCD_INT	GRLCL_2D_ETHCD_INT	
na	na	GRLCL_1D	GRLCL_1D	GRLCL_2D	
SPROHSA115011		0.000000	0.000000	0.000000	
SPROHSA115111		0.000000	0.000000	0.000000	
SPROHSA115747		0.000000	0.000000	0.000000	
SPROHSA116348		0.000000	0.000000	0.000000	
SPROHSA116442		0.000000	0.000000	0.000000	
SPROHSA116960		0.000000	0.000000	0.000000	
SPROHSA117105		0.000000	0.000000	0.000000	
SPROHSA117113		0.000000	0.000000	0.000000	
SPROHSA117173		0.000000	0.000000	0.000000	
SPROHSA117174		0.000000	0.000000	0.000000	
SPROHSA117240		0.000000	0.000000	0.000000	
SPROHSA117275		0.000000	0.000000	0.000000	
SPROHSA117292		0.000000	0.000000	0.000000	
SPROHSA117320		0.000000	0.000000	0.000000	
SPROHSA117327		0.000000	0.000000	0.000000	
SPROHSA117599		0.000000	0.000000	0.000000	
SPROHSA117612		0.000000	0.000000	0.000000	
SPROHSA117623		0.000000	0.000000	0.000000	
SPROHSA117633		0.000000	0.000000	0.000000	
SPROHSA117641		0.000000	0.000000	0.000000	
SPROHSA117845		0.000000	0.000000	0.000000	
SPROHSA118349		0.000000	0.000000	0.000000	
SPROHSA118359		0.000000	0.000000	0.000000	
SPROHSA118425		0.000000	0.000000	0.000000	
SPROHSA118643		0.000000	0.000000	0.000000	
SPROHSA11888		0.000000	0.000000	0.000000	
SPROHSA118951		0.000000	0.000000	0.000000	
SPROHSA119172		0.000000	0.000000	0.000000	
SPROHSA119438		0.000000	0.000000	0.000000	
SPROHSA119517		0.000000	0.000000	0.000000	
SPROHSA119585		0.000000	0.000000	0.000000	
SPROHSA119734		0.000000	0.000000	0.000000	
SPROHSA119737		0.000000	0.000000	0.000000	
SPROHSA119842		0.000000	0.000000	0.000000	
SPROHSA119924		0.000000	0.000000	0.000000	
SPROHSA120053		0.000000	0.000000	0.000000	
SPROHSA120071		0.000000	0.000000	0.000000	
SPROHSA120370		0.000000	0.000000	0.000000	
SPROHSA120782		0.000000	0.000000	0.000000	
SPROHSA120920		0.000000	0.000000	0.000000	
SPROHSA120926		0.000000	0.000000	0.000000	
SPROHSA121027		0.000000	0.000000	0.000000	
